RunTimestamp,Category,Title,Detail,SampleSize,Effect,Confidence,Direction,Action
2026-05-28 23:21:08,Model Health,Model health currently LEARNING,Latest model health score is 53.1/100 with sample size 20. Formula status remains frozen.,20,3.1,MEDIUM,INFO,"Use as context, not as an auto-betting trigger"
2026-05-28 23:21:08,Sample Warning,Model is still in learning mode,Only 2 tracked validation signals are available. Treat all insights as early-stage and do not change formulas yet.,2,0.0,VERY LOW,CAUTION,Collect more signals before structural changes
2026-05-28 23:21:08,Diagnostic Results,Selection = OVER is positive vs baseline,"OVER produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,Selection = UNDER is negative vs baseline,"UNDER produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,PaceDiag = NEUTRAL is negative vs baseline,"NEUTRAL produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,PaceDiag = POSITIVE is positive vs baseline,"POSITIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,OffenseDiag = NEUTRAL is negative vs baseline,"NEUTRAL produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,OffenseDiag = STRONG NEGATIVE is positive vs baseline,"STRONG NEGATIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,DefenseDiag = POSITIVE is negative vs baseline,"POSITIVE produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,DefenseDiag = STRONG NEGATIVE is positive vs baseline,"STRONG NEGATIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,EFGDiag = NEUTRAL is positive vs baseline,"NEUTRAL produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,EFGDiag = STRONG NEGATIVE is negative vs baseline,"STRONG NEGATIVE produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,TOVDiag = NEGATIVE is positive vs baseline,"NEGATIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,TOVDiag = POSITIVE is negative vs baseline,"POSITIVE produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,OREBDiag = NEGATIVE is negative vs baseline,"NEGATIVE produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,OREBDiag = STRONG POSITIVE is positive vs baseline,"STRONG POSITIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,FTADiag = NEGATIVE is positive vs baseline,"NEGATIVE produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,FTADiag = STRONG POSITIVE is negative vs baseline,"STRONG POSITIVE produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,ConfidenceBucket = <40 is negative vs baseline,"<40 produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,ConfidenceBucket = 40-49 is positive vs baseline,"40-49 produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
2026-05-28 23:21:08,Diagnostic Results,EdgeBucket = 0-2 is negative vs baseline,"0-2 produced 0.0% win rate over 1 graded signals, vs baseline 50.0% (-50.0 pts).",1,-50.0,VERY LOW,NEGATIVE,"Caution flag, inspect before staking"
2026-05-28 23:21:08,Diagnostic Results,EdgeBucket = 2-4 is positive vs baseline,"2-4 produced 100.0% win rate over 1 graded signals, vs baseline 50.0% (+50.0 pts).",1,50.0,VERY LOW,POSITIVE,"Promising diagnostic, do not promote to formula yet"
