RunTimestamp,Area,Metric,Value,Status,Severity,Recommendation,Details
2026-06-06T16:01:08+00:00,CLV,Beat-close rate,30.0,WEAK,HIGH,Prioritize CLV improvement before increasing stake aggression.,
2026-06-06T16:01:08+00:00,Environment,Graded environment sample,0,WEAK,HIGH,Keep environment as advisory until graded sample grows.,
2026-06-06T16:01:08+00:00,CLV,Average CLV points,0.125,WATCH,MEDIUM,"Track CLV by market, team, environment, and signal grade.",
2026-06-06T16:01:08+00:00,Environment,Current extreme bucket games,1,WATCH,MEDIUM,Extreme bucket should require extra CLV/injury confirmation before approval.,
2026-06-06T16:01:08+00:00,Environment,Low-sample buckets,3,WATCH,MEDIUM,Do not let bucket labels increase stake size until validation clears sample gate.,
2026-06-06T16:01:08+00:00,Execution,Multi-fill signal groups,8,WATCH,MEDIUM,Multi-fill groups are acceptable when line shopping is intentional; Hermes should flag correlated exposure.,
2026-06-06T16:01:08+00:00,Execution,Unmatched execution groups,26,WATCH,MEDIUM,Add signal_id/correlation_group to bet tracker so all fills link to model signals.,
2026-06-06T16:01:08+00:00,Hermes,Active locks,"ENVIRONMENT_SAMPLE_LOCK, INJURY_CONFIRMATION_LOCK, MANUAL_APPROVAL_REQUIRED, MODEL_SAMPLE_LOCK",WATCH,MEDIUM,"Locks should block automation, not dashboard visibility.",
2026-06-06T16:01:08+00:00,Hermes,Approval queue,2,WATCH,MEDIUM,Operator must approve/reject each queued action before Telegram or execution workflow.,
2026-06-06T16:01:08+00:00,Model Health,Health score,53.1,WATCH,MEDIUM,Keep formula frozen while adding audit-only features until sample is reliable.,Health label: LEARNING
2026-06-06T16:01:08+00:00,Model Health,Sample size,20,WATCH,MEDIUM,Do not promote automation level while model sample is low.,
2026-06-06T16:01:08+00:00,Projection Layer,Average confidence,50.0,WATCH,MEDIUM,Improve confidence calibration with injury/minutes/rest/market features.,
2026-06-06T16:01:08+00:00,Signal Tracker,Open signals,30,WATCH,MEDIUM,Open signals are expected in active slates; ensure they do not pollute graded model quality.,
2026-06-06T16:01:08+00:00,Bankroll,Open tracked bets,0,GOOD,LOW,Open bets should feed exposure limits and Hermes approval locks.,
2026-06-06T16:01:08+00:00,CLV,Signals with CLV,20,GOOD,LOW,Continue expanding closing-line tracking coverage.,
2026-06-06T16:01:08+00:00,Data Integrity,Required files available,13/13,GOOD,LOW,Keep all V20 support outputs generated before dashboard/Hermes review.,Missing or unreadable: none
2026-06-06T16:01:08+00:00,Environment,Current no-play bucket games,4,GOOD,LOW,"Use no-play bucket as a warning layer, not an auto-decision layer.",
2026-06-06T16:01:08+00:00,Execution,Execution tickets,38,GOOD,LOW,"Ticket count belongs to execution/bankroll, not model-signal count.",
2026-06-06T16:01:08+00:00,Execution,Net execution P/L,0.711,GOOD,LOW,Separate profitability from model validation because execution fills can differ from model line.,
2026-06-06T16:01:08+00:00,Execution,Signal execution groups,27,GOOD,LOW,Use grouped accounting for validation and bankroll intelligence.,
2026-06-06T16:01:08+00:00,Hermes,Automation mode,manual_approval,GOOD,LOW,Keep Hermes in manual approval until model/environment/injury gates are validated.,
2026-06-06T16:01:08+00:00,Hermes,High warnings,0,GOOD,LOW,High warnings should prevent approvals until resolved.,
2026-06-06T16:01:08+00:00,Projection Layer,Average absolute edge,3.49,GOOD,LOW,Use edge distribution to identify whether the model is too flat or too aggressive.,
2026-06-06T16:01:08+00:00,Projection Layer,Recommended actions,2,GOOD,LOW,Avoid bet volume expansion until CLV/sample improves.,
2026-06-06T16:01:08+00:00,Projection Layer,Slate games,6,GOOD,LOW,Maintain slate coverage and verify all scheduled games appear.,
2026-06-06T16:01:08+00:00,Results,Signal win rate,60.0,GOOD,LOW,Treat win rate as secondary to CLV until larger sample exists.,
2026-06-06T16:01:08+00:00,Signal Tracker,PASS signals tracked,26,GOOD,LOW,"Keep PASS decisions tracked for discipline analysis, but separate them from bet-action performance.",
2026-06-06T16:01:08+00:00,Staking Layer,Slate cap applied,0,GOOD,LOW,"Slate cap is a safety feature; if it triggers often, tune upstream bet volume/edge thresholds.",
2026-06-06T16:01:08+00:00,Staking Layer,Suggested total units,1.1,GOOD,LOW,Keep slate-level exposure capped until sample reliability improves.,
